fixture_id,team_id,team_name,player_id,player_name,minutes_played,rating,goals,assists,shots_total,shots_on,passes_total,passes_accuracy,tackles,duels_total,duels_won,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red
1044881,97,Lorient,20917,Laurent Abergel,90.0,7.9,0,0,1,0,25,23,4,8,5,0,1,0,0,0
1044881,97,Lorient,22171,Jean-Victor Makengo,59.0,6.5,0,0,0,0,17,12,0,3,0,0,0,3,0,0
1044881,97,Lorient,174703,ThÃ©o Le Bris,90.0,6.9,0,0,0,0,26,18,4,7,4,0,0,0,0,0
1044881,97,Lorient,284072,Ahmadou Bamba Dieng,59.0,6.6,0,0,0,0,10,7,0,7,6,0,2,0,0,0
1044881,97,Lorient,20641,Julien Ponceau,31.0,6.7,0,0,1,0,14,11,0,2,0,0,0,1,0,0
1044881,97,Lorient,39245,Ibrahima Kone,31.0,6.3,0,0,0,0,3,2,0,7,4,0,1,0,0,0
1044881,97,Lorient,152669,Darline Yongwa,11.0,6.9,0,0,0,0,2,2,0,2,2,1,1,0,0,0
1044881,97,Lorient,51146,Vito Mannone,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044881,97,Lorient,193507,Dembo Sylla,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044881,97,Lorient,162236,Formose Mendy,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044881,97,Lorient,276662,Pablo Pagis,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044881,97,Lorient,1960,Bonke Innocent,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044881,97,Lorient,368030,Eli Junior Kroupi,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044889,106,Stade Brestois 29,36878,Marco Bizot,90.0,6.5,0,0,0,0,27,21,0,0,0,0,0,0,0,0
1044889,106,Stade Brestois 29,22247,Kenny Lala,90.0,7.9,1,0,1,1,36,25,5,9,7,0,2,1,0,0
1044889,106,Stade Brestois 29,20546,Brendan Chardonnet,90.0,6.6,0,0,1,1,42,34,0,10,4,1,0,2,0,0
1044889,106,Stade Brestois 29,126757,Lilian Brassier,90.0,6.5,0,0,0,0,38,32,0,7,2,0,0,0,1,0
1044889,106,Stade Brestois 29,274267,Bradley Locko,90.0,6.3,0,0,0,0,43,37,2,16,5,3,0,1,0,0
1044889,106,Stade Brestois 29,20558,Hugo Magnetti,67.0,6.9,0,0,1,1,16,15,2,6,4,1,0,1,0,0
1044889,106,Stade Brestois 29,22170,Pierre Lees Melou,90.0,7.3,0,0,0,0,47,39,3,12,7,2,2,3,1,0
1044889,106,Stade Brestois 29,20780,Mathias Pereira Lage,67.0,6.7,0,0,1,0,8,7,1,5,2,0,0,1,0,0
1044889,106,Stade Brestois 29,2214,Romain Del Castillo,89.0,8.7,2,0,3,3,31,22,3,18,10,2,4,1,0,0
1044889,106,Stade Brestois 29,85772,JÃ©rÃ©my Le Douaron,90.0,6.5,0,0,3,2,17,14,1,15,7,1,4,0,0,0
1044889,106,Stade Brestois 29,195512,MartÃ­n Satriano,76.0,6.9,0,0,2,0,11,6,0,11,5,0,1,1,0,0
1044889,106,Stade Brestois 29,24147,Mahdi Camara,23.0,7.2,0,0,0,0,13,11,0,5,2,0,1,1,0,0
1044889,106,Stade Brestois 29,22258,Jonas Martin,23.0,7.2,0,0,0,0,23,19,1,5,3,0,1,1,0,0
1044889,106,Stade Brestois 29,3395,Steve MouniÃ©,14.0,6.3,0,0,0,0,7,7,0,1,0,0,0,0,0,0
1044889,106,Stade Brestois 29,329209,Axel Camblan,1.0,,0,0,0,0,0,,1,2,1,0,0,0,0,0
1044889,106,Stade Brestois 29,21248,GrÃ©goire Coudert,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044889,106,Stade Brestois 29,36540,Achraf Dari,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044889,106,Stade Brestois 29,22164,Christophe Herelle,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044889,106,Stade Brestois 29,129680,Hianga'a M'Bock,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044889,106,Stade Brestois 29,67959,Karamoko DembÃ©lÃ©,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044889,116,Lens,21628,Brice Samba,90.0,7.3,0,0,0,0,29,20,0,1,1,0,0,0,1,0
1044889,116,Lens,21635,Jonathan Gradit,45.0,6.2,0,0,0,0,19,16,1,5,2,0,1,2,0,0
1044889,116,Lens,25287,Kevin Danso,90.0,6.9,0,0,0,0,34,27,1,10,7,1,1,1,0,0
1044889,116,Lens,6231,Facundo Medina,90.0,7.7,0,1,0,0,60,47,4,11,7,0,1,2,1,0
1044889,116,Lens,3007,PrzemysÅ‚aw Frankowski,78.0,7.2,0,0,1,0,31,22,3,8,6,2,0,0,0,0
1044889,116,Lens,128987,Salis Abdul Samed,90.0,6.2,0,0,0,0,35,30,1,7,2,0,1,3,0,0
1044889,116,Lens,270509,Andy Diouf,84.0,6.9,0,0,1,0,34,33,1,13,6,3,1,0,0,0
1044889,116,Lens,2483,Deiver Machado,90.0,7.6,1,0,1,1,29,19,2,11,9,2,4,1,0,0
1044889,116,Lens,20761,Florian Sotoca,90.0,7.3,1,0,2,1,33,19,1,13,8,0,1,2,1,0
1044889,116,Lens,21146,Angelo Fulgini,68.0,6.9,0,1,0,0,27,18,0,9,1,0,1,0,0,0
1044889,116,Lens,23643,Morgan Guilavogui,68.0,6.2,0,0,0,0,15,9,3,12,7,1,1,0,0,0
1044889,116,Lens,3333,Massadio HaÃ¯dara,45.0,6.2,0,0,0,0,17,16,2,8,3,0,0,1,0,0
1044889,116,Lens,22261,Adrien Thomasson,14.0,5.5,0,0,0,0,5,3,0,1,0,0,0,1,0,1
1044889,116,Lens,174607,David da Costa,22.0,5.9,0,0,0,0,13,10,1,6,1,0,0,0,0,0
1044889,116,Lens,85914,Julien Le Cardinal,12.0,6.2,0,0,0,0,6,6,2,6,3,0,1,1,0,0
1044889,116,Lens,36868,Stijn Spierings,14.0,6.2,0,0,0,0,8,6,0,1,0,0,0,1,0,0
1044889,116,Lens,20651,Jean-Louis Leca,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044889,116,Lens,360114,Abdukodir Khusanov,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044889,116,Lens,351923,Oscar CortÃ©s,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044889,116,Lens,352999,Ayanda Sishuba,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044888,82,Montpellier,21566,Benjamin Lecomte,90.0,6.7,0,0,0,0,32,20,0,0,0,0,0,0,0,0
1044888,82,Montpellier,3336,Falaye Sacko,90.0,6.5,0,0,0,0,56,44,2,7,2,0,0,0,0,0
1044888,82,Montpellier,22138,Christopher Jullien,90.0,6.6,0,0,1,0,73,66,1,11,6,0,0,1,1,0
1044888,82,Montpellier,3335,Boubakar KouyatÃ©,90.0,7.3,0,1,0,0,77,64,1,8,5,0,0,2,0,0
1044888,82,Montpellier,22141,Issiaga Sylla,86.0,6.6,0,0,0,0,36,32,1,6,3,1,1,0,0,0
1044888,82,Montpellier,128287,Joris Chotard,90.0,7.5,0,0,0,0,53,45,6,12,9,0,1,0,0,0
1044888,82,Montpellier,21439,Jordan Ferri,77.0,6.7,0,0,0,0,55,46,2,5,2,0,0,0,0,0
1044888,82,Montpellier,15286,Mousa Al-Taamari,90.0,7.7,0,0,3,2,18,14,1,15,9,3,4,0,0,0
1044888,82,Montpellier,21443,Teji Savanier,71.0,7.2,0,1,0,0,45,34,0,8,4,2,1,0,0,0
1044888,82,Montpellier,22102,Wahbi Khazri,69.0,6.6,0,0,3,1,12,9,1,7,2,0,1,1,0,0
1044888,82,Montpellier,57446,Akor Adams,77.0,8.7,2,0,2,2,11,8,0,5,3,0,1,2,0,0
1044888,82,Montpellier,22097,Arnaud Nordin,21.0,6.3,0,0,0,0,4,4,1,4,2,0,1,0,0,0
1044888,82,Montpellier,326088,Khalil Fayad,19.0,6.5,0,0,0,0,9,9,0,4,2,1,0,0,0,0
1044888,82,Montpellier,20833,Leo Leroy,13.0,6,0,0,1,0,3,2,0,4,1,0,0,2,0,0
1044888,82,Montpellier,162707,Elye Wahi,13.0,7,0,0,0,0,6,6,0,3,3,1,1,0,0,0
1044888,82,Montpellier,333118,Lucas Mincarelli Davin,12.0,6.5,0,0,0,0,1,1,1,1,1,0,0,0,0,0
1044888,82,Montpellier,119113,Belmin DizdareviÄ‡,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044888,82,Montpellier,18842,Mamadou Sakho,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044888,82,Montpellier,999,BeÄ‡ir OmeragiÄ‡,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044888,82,Montpellier,179401,Sacha Delaye,,,0,0,0,0,0,,0,0,0,0,0,0,0,0
1044888,111,LE Havre,24011,Arthur Desmas,90.0,6.7,0,0,0,0,18,10,0,0,0,0,0,0,0,0
